has_think_tag,has_answer_tag,has_valid_json,format_correct,think_content,answer_content,json_content,error_message,think_tag_count,answer_tag_count,malformed_structure,index,original_question,db_id,data_source,success
False,False,False,False,,,,,0,0,False,0,What types of contents cannot be found in warehouses in New York?,warehouse_1,spider_test,True
False,False,False,False,,,,,0,0,False,1,What are the names of the different clients who have made an order?,book_1,spider_test,True
False,False,False,False,,,,,0,0,False,2,Return the ids and models of vehicles that have been driven by exactly two drivers or built by Ziyang.,vehicle_driver,spider_test,True
False,False,False,False,,,,,0,0,False,3,How many vehicles do we have?,vehicle_rent,spider_test,True
False,False,False,False,,,,,0,0,False,4,What is the rank of the book with the smallest number of pages?,book_review,spider_test,True
False,False,False,False,,,,,0,0,False,5,What are the dates of the earliest order and the dates of all orders with more than 1 item?,e_commerce,spider_test,True
False,False,False,False,,,,,0,0,False,6,List the title and audio length for all the books in descending order of the number of readers.,book_review,spider_test,True
False,False,False,False,,,,,0,0,False,7,Show the book title and purchase price of the book that has had the greatest amount in orders.,book_1,spider_test,True
False,False,False,False,,,,,0,0,False,8,How many staff are the document with id 0 and process with id 9.,cre_Doc_Workflow,spider_test,True
False,False,False,False,,,,,0,0,False,9,"What is the full name of the artist with a sculpture whose title includes the word ""female""?",art_1,spider_test,True
False,False,False,False,,,,,0,0,False,10,List the manufacturers that are associated with more than one club.,soccer_3,spider_test,True
False,False,False,False,,,,,0,0,False,11,"What are the titles of books that are not ""Poet""?",book_review,spider_test,True
False,False,False,False,,,,,0,0,False,12,list all the names of press in descending order of the profit of the year.,book_press,spider_test,True
False,False,False,False,,,,,0,0,False,13,Find the name of the movies that are played in either cinema Odeon or Imperial.,movie_2,spider_test,True
False,False,False,False,,,,,0,0,False,14,What are the types of books that have at least three books belonging to?,book_review,spider_test,True
False,False,False,False,,,,,0,0,False,15,How many photos does each owner has of his or her properties? List user id and number of photos.,real_estate_rentals,spider_test,True
False,False,False,False,,,,,0,0,False,16,List all client ids and client details.,advertising_agencies,spider_test,True
False,False,False,False,,,,,0,0,False,17,Show all university names without a major with rank 1?,university_rank,spider_test,True
False,False,False,False,,,,,0,0,False,18,Count the number of pilots with age greater than 40 or less than 30.,pilot_1,spider_test,True
False,False,False,False,,,,,0,0,False,19,Count the number of coutries.,address_1,spider_test,True
False,False,False,False,,,,,0,0,False,20,Return the average age of pilots for each plane name.,pilot_1,spider_test,True
False,False,False,False,,,,,0,0,False,21,"What is the average number of units sold in millions of games played by players with position ""Guard""?",video_game,spider_test,True
